"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: bits","Param: padding","Param: scenario","Param: seed","Param: size"
"io.github.richardstartin.radixsort.RadixSortBenchmark.arraysSort:dTLB-load-misses","avgt",1,1,2430.142857,NaN,"#/op",17,7,ALMOST_SORTED,0,1000000
"io.github.richardstartin.radixsort.RadixSortBenchmark.arraysSort:dTLB-loads","avgt",1,1,82562144.428571,NaN,"#/op",17,7,ALMOST_SORTED,0,1000000
"io.github.richardstartin.radixsort.RadixSortBenchmark.arraysSort:dTLB-store-misses","avgt",1,1,751.828571,NaN,"#/op",17,7,ALMOST_SORTED,0,1000000
"io.github.richardstartin.radixsort.RadixSortBenchmark.arraysSort:dTLB-stores","avgt",1,1,20729094.628571,NaN,"#/op",17,7,ALMOST_SORTED,0,1000000
"io.github.richardstartin.radixsort.RadixSortBenchmark.arraysSort:iTLB-load-misses","avgt",1,1,473.328571,NaN,"#/op",17,7,ALMOST_SORTED,0,1000000
"io.github.richardstartin.radixsort.RadixSortBenchmark.arraysSort:iTLB-loads","avgt",1,1,2458.842857,NaN,"#/op",17,7,ALMOST_SORTED,0,1000000
"io.github.richardstartin.radixsort.RadixSortBenchmark.arraysSort:instructions","avgt",1,1,326953382.557143,NaN,"#/op",17,7,ALMOST_SORTED,0,1000000
"io.github.richardstartin.radixsort.RadixSortBenchmark.arraysSort:·gc.alloc.rate","avgt",1,5,0.000273,0.000034,"MB/sec",17,7,ALMOST_SORTED,0,1000000
"io.github.richardstartin.radixsort.RadixSortBenchmark.arraysSort:·gc.alloc.rate.norm","avgt",1,5,31.885714,3.936138,"B/op",17,7,ALMOST_SORTED,0,1000000
"io.github.richardstartin.radixsort.RadixSortBenchmark.arraysSort:·gc.count","avgt",1,5,0.000000,NaN,"counts",17,7,ALMOST_SORTED,0,1000000
"io.github.richardstartin.radixsort.RadixSortBenchmark.arraysSort","avgt",1,5,72337.476814,67.136021,"us/op",17,7,EXP,0,1000000
"io.github.richardstartin.radixsort.RadixSortBenchmark.arraysSort:CPI","avgt",1,1,0.752770,NaN,"clks/insn",17,7,EXP,0,1000000
"io.github.richardstartin.radixsort.RadixSortBenchmark.arraysSort:IPC","avgt",1,1,1.328427,NaN,"insns/clk",17,7,EXP,0,1000000
"io.github.richardstartin.radixsort.RadixSortBenchmark.arraysSort:L1-dcache-load-misses","avgt",1,1,747163.014286,NaN,"#/op",17,7,EXP,0,1000000
"io.github.richardstartin.radixsort.RadixSortBenchmark.arraysSort:L1-dcache-loads","avgt",1,1,60010562.714286,NaN,"#/op",17,7,EXP,0,1000000
"io.github.richardstartin.radixsort.RadixSortBenchmark.arraysSort:L1-dcache-stores","avgt",1,1,13115757.342857,NaN,"#/op",17,7,EXP,0,1000000
